x,y
-1.043783,-0.897786
1.877515,2.283662
0.102082,2.663118
4.930529,0.077079
0.883472,2.786459
2.378474,2.650558
5.633504,-0.199900
-0.091514,2.956480
2.372049,2.689713
1.041156,1.858131
2.585744,0.925919
-0.220371,3.034103
0.557684,4.888294
1.739800,2.074766
-1.915073,-1.276109
2.704517,0.540043
1.478588,2.483302
3.000190,-0.247137
4.123680,-0.490429
-0.383710,-2.949734
-1.450039,-1.992751
-0.726769,-2.603599
2.986214,-0.185056
-0.481619,-2.756440
-0.325776,-0.761204
-0.588561,3.170787
2.759292,0.702580
2.602734,-0.138660
1.869657,2.334655
0.515676,2.163175
-0.722026,-2.454390
1.769787,1.084195
-0.684422,-1.983590
0.145337,4.219949
-0.597644,4.123653
0.319022,-0.738945
0.296904,2.845187
-1.054224,-0.567069
4.936146,-0.633267
1.383505,3.046822
4.858642,-0.924771
-1.464342,-1.550382
-0.214571,-2.345628
0.593812,4.089696
-0.940623,3.250800
-0.859755,2.504013
-2.697610,5.744171
2.658437,2.496863
0.142998,3.561488
5.412063,2.683307
-1.970774,-2.056544
4.975968,-0.049402
2.153141,1.686150
3.698841,-0.042209
-0.739386,-1.498430
0.381045,2.046421
-2.328003,-1.312746
0.268276,2.429201
0.570993,2.996671
5.687713,0.501793
-1.943784,-1.980441
-0.036196,-2.756726
3.139290,0.121802
-0.278413,1.667388
0.505565,2.883313
0.517258,-1.426443
1.969412,2.589056
2.537477,2.515410
-0.829196,2.760638
2.272088,0.157606
1.451544,2.532768
3.795216,-0.631550
0.176210,-1.008851
0.542822,2.960139
6.326200,0.176012
3.514021,0.068307
4.122553,-0.673026
5.862296,0.514047
5.352713,0.752760
0.380466,-1.544954
-0.554479,4.073103
-1.675966,-1.110895
-0.865626,-0.637759
-2.011599,-1.935914
2.633423,2.525776
1.576469,0.251584
0.629381,2.655864
-1.701935,-2.855319
5.111356,-0.355464
3.422902,-0.829441
-0.275144,2.936764
0.154528,3.099166
-2.116176,-2.540451
1.798207,2.407846
0.198066,3.848901
3.747464,0.488972
0.008121,3.228642
2.123857,1.004945
4.783587,0.247482
1.131299,1.871944
-1.361668,-2.507458
-0.939938,1.331672
5.631010,-0.001403
0.142148,3.148348
-2.828692,-2.018687
0.237539,2.207772
2.243549,2.662328
1.883843,-0.034041
3.235228,-0.102848
0.012512,-1.110257
-0.245806,3.312093
0.412848,4.133557
2.779998,0.645783
-0.064509,-0.707616
-0.721113,-0.370143
2.556693,2.679571
3.149533,-0.330663
2.065790,2.578790
-0.103113,3.982298
-0.386197,3.956470
5.031817,-0.378395
4.482539,-0.759863
3.676415,-0.288086
-0.751538,-1.117958
-0.637285,-1.403449
0.544782,2.546675
-1.469900,-1.819448
2.198935,1.227285
4.228107,-0.187603
-0.520697,-1.256505
-2.057529,-2.333048
5.626884,0.524223
-0.796644,3.528946
0.777322,1.671713
2.956433,2.310635
1.519427,1.970821
4.940892,-0.654555
-1.893586,-2.492524
3.202396,-0.627335
3.886814,0.221374
6.803587,-0.558589
1.322226,-0.226469
4.477123,-1.085665
2.297961,0.240923
-0.201075,2.106318
-0.005530,-1.056608
2.208319,-2.115257
1.299399,-2.603763
0.611367,3.719088
-0.269982,3.475004
5.789507,-0.594668
-2.527772,-2.625575
0.406634,2.913015
-0.144445,3.285346
4.742256,-3.192647
-0.870958,-1.743221
3.141442,1.013872
-0.253376,3.765318
3.055331,0.682041
4.522388,-0.034501
4.386922,-0.238508
0.987400,1.283399
2.253120,1.992306
3.710495,-0.357359
0.732707,3.949939
4.876222,0.713561
4.659981,0.715160
0.112182,3.151371
2.595628,2.123180
-1.894810,0.135668
2.290520,1.944797
-0.586903,1.658895
-0.133534,2.693509
0.483115,2.854492
-2.690512,-2.904352
-1.629809,-0.315465
1.799457,0.211108
1.826324,1.858224
-2.523916,-0.897890
4.485989,-0.188746
0.270628,-0.233401
-1.140144,-0.915823
-0.105855,-1.171528
2.141151,-0.123690
0.024561,-2.569873
-0.774208,-1.040232
0.286754,0.239402
5.070480,0.059999
0.794652,3.058880
4.419569,-0.579439
2.652754,2.780803
-0.360094,-1.555435
-1.462876,-1.781000
-1.032653,-1.604068
-2.205433,-1.889493
4.543930,-0.594867
2.109940,1.125282
0.069828,0.049941
0.122947,-1.935930
-0.764403,-2.127946
0.940586,0.381929
2.215034,0.522444
-1.708172,-2.233512
-0.155581,3.213197
-0.010921,2.110697
-2.103858,-0.641371
-0.675990,3.142599
-1.124507,-1.692314
-0.235985,3.150910
0.638781,3.202806
5.467776,0.407409
-1.041543,-2.469176
-0.699309,-0.333066
1.235535,1.065928
1.882490,1.570598
4.325400,0.144270
2.097622,-0.120242
-2.229350,-0.509416
5.844145,-0.338274
2.537000,2.187148
2.412565,1.800543
2.158360,0.358462
-0.373299,-3.228022
1.242826,1.011435
0.166649,-0.476677
2.555124,0.014590
-0.493064,-0.092927
-0.546102,3.869309
2.024548,0.701289
0.971712,2.894267
-0.502392,-2.215004
-0.798145,-2.059072
-0.770213,3.395695
0.348420,0.093571
0.203784,3.043255
-1.936298,-0.232660
2.668582,-0.025066
-0.101815,1.971964
2.873833,-0.202897
-1.629571,-1.468148
-0.665273,4.122778
-0.814807,-1.892837
3.596065,0.094423
-0.430252,2.826848
2.839068,2.031528
-0.709784,-0.050644
5.612846,0.083255
-0.623274,2.743507
2.221011,2.300032
0.020714,-2.725991
0.353050,3.157623
3.881076,-0.630832
-0.606851,2.278220
0.014204,2.758256
2.896347,1.935659
2.058656,1.389893
2.459370,-0.520274
2.205627,2.183752
1.014831,-0.982281
-0.051817,4.360559
0.410337,2.616040
0.975803,-1.728307
0.103051,2.755499
3.136909,-0.310691
6.099973,0.016929
-2.314497,-0.959237
0.280034,2.782820
-0.771571,-1.398218
2.515674,2.551163
4.848064,0.127652
2.110133,0.981874
-0.077115,2.438826
2.272151,-0.779664
4.033166,-0.743171
4.990070,-0.138941
-0.887078,-0.556930
1.350337,0.734219
1.746839,1.203862
2.781687,0.333611
-0.415271,2.574805
1.666035,2.132670
0.269366,3.508528
2.792210,2.438891
0.674773,5.473198
2.364707,3.001838
2.097369,-0.080988
2.712039,1.439623
4.523987,-3.760296
0.941482,1.263863
3.762894,-0.826894
0.326973,-0.498036
2.078208,0.928170
2.242616,2.086283
-2.233529,4.743343
-1.323914,-0.229424
0.075846,3.058818
1.462495,1.204574
5.219158,0.426572
-0.432581,3.114773
2.967461,0.028188
3.821286,-0.125204
0.682781,-1.389132
-2.104932,-2.960803
2.447175,1.953025
-0.602274,4.126003
2.078648,2.036779
2.205344,1.713294
-0.894846,3.285406
4.805828,0.148303
1.807294,1.930042
-3.930679,-2.873359
2.155176,1.017195
-0.264170,2.137845
