possession_pct,shots_on_target,pass_accuracy_pct,defensive_errors,distance_covered_km,xG,home_away,formation,result
46.85,12,68.53,0,86.2,1.506,1,2,1
72.78,11,92.12,7,93.74,0.235,1,0,1
62.94,6,63.98,1,91.23,1.032,0,0,1
56.94,12,69.89,5,92.14,3.349,1,1,1
37.02,10,72.28,4,112.25,3.342,0,1,1
37.02,0,72.58,1,99.04,1.298,1,1,0
32.61,5,79.52,0,98.99,0.247,1,2,1
68.98,14,92.72,1,107.82,0.709,0,2,1
57.05,14,64.63,5,89.63,1.434,1,2,1
61.86,2,59.86,1,99.62,3.322,0,2,1
30.93,10,62.9,4,97.9,0.58,1,1,0
73.65,9,90.48,3,102.91,2.696,0,2,1
67.46,6,80.83,5,114.99,0.47,1,2,1
39.56,9,66.44,0,108.08,3.436,1,2,1
38.18,1,87.64,4,96.94,1.397,1,2,0
38.25,13,89.45,1,109.83,2.736,0,0,1
43.69,1,88.86,1,90.12,1.265,0,1,0
53.61,12,91.76,3,85.91,2.234,0,1,1
49.44,3,65.09,0,91.13,0.753,1,2,0
43.11,0,85.2,0,95.21,0.596,0,0,0
57.53,2,73.42,2,100.32,3.289,0,1,1
36.28,12,88.68,0,103.45,3.22,0,1,1
43.15,8,84.14,3,112.32,3.117,0,2,1
46.49,6,86.06,6,100.3,2.226,0,2,0
50.52,14,81.25,2,100.04,2.848,0,1,1
65.33,6,62.1,2,86.51,0.335,0,1,1
38.99,12,76.8,1,86.05,1.238,0,0,1
53.14,12,94.39,1,101.53,1.167,0,1,1
56.66,10,92.5,0,98.15,2.261,0,1,1
32.09,3,56.73,2,110.18,1.31,1,2,0
57.34,1,61.59,7,89.82,0.605,1,1,0
37.67,14,60.27,1,85.75,2.128,0,2,1
32.93,13,84.04,3,98.47,2.869,1,1,1
72.7,3,87.71,7,92.12,1.399,1,1,0
73.45,5,63.54,1,86.49,0.55,0,1,1
66.38,10,75.23,5,106.74,0.769,0,0,1
43.71,10,88.63,5,88.35,0.907,0,2,1
34.4,2,84.31,1,103.25,1.12,1,0,0
60.79,0,76.69,2,93.43,2.286,0,1,0
49.81,13,78.61,6,90.2,2.143,1,0,1
35.49,11,75.33,6,96.39,2.467,0,2,0
52.28,7,66.9,2,109.04,1.333,1,1,1
31.55,11,77.6,4,96.76,2.902,1,0,1
70.92,12,82.56,6,107.52,0.794,0,0,1
41.65,4,89.93,5,88.76,1.695,0,2,0
59.81,14,80.45,3,108.18,2.823,1,0,1
44.03,4,85.44,2,92.11,0.713,1,2,0
53.4,10,61.4,0,105.32,0.474,0,1,1
54.6,3,73.46,5,101.97,3.105,0,1,0
38.32,5,55.37,3,112.87,1.266,1,0,0
73.63,2,64.87,3,96.62,2.425,0,1,1
64.88,8,84.06,2,86.98,0.186,1,1,0
72.28,4,94.67,3,85.57,2.446,0,0,1
70.27,2,58.97,2,109.81,1.175,0,1,0
56.91,10,71.06,6,100.74,0.29,0,0,0
71.48,0,87.0,1,108.26,2.173,1,2,1
33.98,9,63.16,5,92.03,0.919,0,2,0
38.82,11,77.2,4,95.35,1.415,1,2,1
32.04,5,84.32,1,85.9,0.374,0,0,0
44.64,14,79.64,5,113.84,0.6,1,0,1
47.49,1,62.52,2,105.04,1.113,1,1,0
42.21,12,69.22,5,113.0,0.405,0,1,0
67.29,2,86.35,6,92.96,3.197,1,1,1
46.05,0,77.17,2,103.34,0.121,1,1,0
42.64,8,55.21,1,105.35,1.745,1,1,0
54.42,7,85.44,0,94.53,0.519,1,0,1
36.34,11,56.41,0,110.44,1.146,0,0,1
66.1,1,84.83,7,113.41,3.249,0,2,0
33.35,14,63.1,7,111.55,0.65,0,2,0
74.41,11,93.32,5,107.17,3.384,1,2,1
64.75,10,69.72,0,93.32,0.8,1,2,1
38.94,7,68.08,2,93.45,2.621,0,0,1
30.25,11,60.96,3,113.9,1.959,0,0,0
66.7,13,67.22,2,85.31,3.107,1,0,1
61.81,8,90.07,3,106.48,1.984,0,1,1
62.81,0,94.85,1,106.19,1.918,0,1,1
64.71,12,69.73,4,103.68,0.765,1,2,1
33.33,4,72.94,3,114.7,0.665,0,1,0
46.13,7,83.88,0,94.36,3.216,1,0,1
35.21,14,90.45,2,95.2,1.215,0,2,1
68.84,10,78.72,1,87.37,1.365,1,2,1
58.05,13,70.66,0,98.28,2.683,1,1,1
44.89,1,71.5,1,92.83,1.252,1,2,1
32.86,3,82.82,4,95.3,3.337,1,1,0
43.99,6,55.13,6,110.04,2.609,1,1,0
44.63,2,79.78,2,113.06,2.131,0,2,0
62.83,12,69.22,5,90.57,3.095,0,1,1
58.69,11,86.77,2,96.18,0.269,0,1,1
69.92,4,58.72,7,112.86,0.974,1,1,0
51.25,7,78.53,4,86.85,1.681,0,1,0
35.38,11,74.24,2,87.77,0.872,1,2,1
62.1,9,80.69,7,89.88,2.629,1,0,1
64.24,2,57.59,5,102.86,3.225,0,0,0
55.26,3,78.2,3,89.51,1.541,1,1,1
64.69,13,77.46,1,114.04,1.263,0,1,1
52.22,14,77.43,5,98.4,3.369,1,1,1
53.52,8,79.14,0,100.05,1.612,1,0,1
49.24,13,82.06,4,92.4,1.763,0,1,1
